text,label
I am happy today,0
I feel great and positive,0
I am excited about my project,0
Aaje mood saro chhe,0
I feel confident,0
I enjoyed my day,0
I am feeling fresh,0
My mind is calm,0
I am proud of myself,0
I feel relaxed,0
I feel sad and hopeless,1
I am lonely and depressed,1
I feel anxious and scared,1
Aaje mood saro nathi khub tension lage chhe,1
I am under pressure,1
I feel broken,1
I cannot sleep because of stress,1
I feel mentally exhausted,1
I am worried every day,1
I feel angry with this situation,1
Today i am happy today,0
Today i feel great and positive,0
Today i am excited about my project,0
Today aaje mood saro chhe,0
Today i feel confident,0
Today i enjoyed my day,0
Today i am feeling fresh,0
Today my mind is calm,0
Today i am proud of myself,0
Today i feel relaxed,0
Today i feel sad and hopeless,1
Today i am lonely and depressed,1
Today i feel anxious and scared,1
Today aaje mood saro nathi khub tension lage chhe,1
Today i am under pressure,1
Today i feel broken,1
Today i cannot sleep because of stress,1
Today i feel mentally exhausted,1
Today i am worried every day,1
Today i feel angry with this situation,1
Sometimes i am happy today,0
Sometimes i feel great and positive,0
Sometimes i am excited about my project,0
Sometimes aaje mood saro chhe,0
Sometimes i feel confident,0
Sometimes i enjoyed my day,0
Sometimes i am feeling fresh,0
Sometimes my mind is calm,0
Sometimes i am proud of myself,0
Sometimes i feel relaxed,0
Sometimes i feel sad and hopeless,1
Sometimes i am lonely and depressed,1
Sometimes i feel anxious and scared,1
Sometimes aaje mood saro nathi khub tension lage chhe,1
Sometimes i am under pressure,1
Sometimes i feel broken,1
Sometimes i cannot sleep because of stress,1
Sometimes i feel mentally exhausted,1
Sometimes i am worried every day,1
Sometimes i feel angry with this situation,1
Recently i am happy today,0
Recently i feel great and positive,0
Recently i am excited about my project,0
Recently aaje mood saro chhe,0
Recently i feel confident,0
Recently i enjoyed my day,0
Recently i am feeling fresh,0
Recently my mind is calm,0
Recently i am proud of myself,0
Recently i feel relaxed,0
Recently i feel sad and hopeless,1
Recently i am lonely and depressed,1
Recently i feel anxious and scared,1
Recently aaje mood saro nathi khub tension lage chhe,1
Recently i am under pressure,1
Recently i feel broken,1
Recently i cannot sleep because of stress,1
Recently i feel mentally exhausted,1
Recently i am worried every day,1
Recently i feel angry with this situation,1
From many days i am happy today,0
From many days i feel great and positive,0
From many days i am excited about my project,0
From many days aaje mood saro chhe,0
From many days i feel confident,0
From many days i enjoyed my day,0
From many days i am feeling fresh,0
From many days my mind is calm,0
From many days i am proud of myself,0
From many days i feel relaxed,0
From many days i feel sad and hopeless,1
From many days i am lonely and depressed,1
From many days i feel anxious and scared,1
From many days aaje mood saro nathi khub tension lage chhe,1
From many days i am under pressure,1
From many days i feel broken,1
From many days i cannot sleep because of stress,1
From many days i feel mentally exhausted,1
From many days i am worried every day,1
From many days i feel angry with this situation,1
In my life i am happy today,0
In my life i feel great and positive,0
In my life i am excited about my project,0
In my life aaje mood saro chhe,0
In my life i feel confident,0
In my life i enjoyed my day,0
In my life i am feeling fresh,0
In my life my mind is calm,0
In my life i am proud of myself,0
In my life i feel relaxed,0
In my life i feel sad and hopeless,1
In my life i am lonely and depressed,1
In my life i feel anxious and scared,1
In my life aaje mood saro nathi khub tension lage chhe,1
In my life i am under pressure,1
In my life i feel broken,1
In my life i cannot sleep because of stress,1
In my life i feel mentally exhausted,1
In my life i am worried every day,1
In my life i feel angry with this situation,1
